,C,Jun'24,Jul'24,Aug'24,Sep'24
0,Organic,11890.760279519223,13470.678545500105,12710.947588049848,13535.307306463073
1,Paid Search,8465.193976266044,7899.767457460104,7150.746760492741,7057.241662458946
2,Direct,23114.39218041443,25674.487758294534,23849.450420102345,27564.83703250771
3,Xfinity,8041.793249493552,8547.81896430568,8245.382659580397,8906.782311526218
4,Email,1320.7358583893076,1414.8259987705635,1300.290215181268,1547.5143984447827
5,Display,34390.99807993566,43824.126120316374,40371.4546654743,40212.451138583085
6,Other ,14734.230278645247,18776.132361255193,18231.272913803223,21243.21738186208
7,Eng. Traffic Rate Excl Display,28.8,28.0,28.4,26.4
8,Engaged Visit Rate,22.1,21.4,21.8,20.7
9,Eng. Traffic Rate Excl Display,,,,
10,Engaged Visit Rate,,,,
